DEPTH,GR,RLA1,RLA2,RLA3,RLA4,RLA5,RT_HRLT,RHOB,TNPH,Vsh,Sw,Por,LogRt,LogPhiT,LogSwT
2980.182,83.0332,3.3322,3.6498,3.7865,3.9334,4.3403,4.8549,2.4286,0.2453,0.3238,0.8605,0.1462,1.579988504,-0.835052627,-0.065249125
2984.9064,137.3272,5.657,5.4885,5.6555,5.5542,5.5333,5.5653,2.4736,0.3809,0.723,0.9337,0.0886,1.716550892,-1.052566278,-0.029792641
2985.0588,120.0967,5.7486,5.8678,6.0911,6.076,6.0759,6.2553,2.4308,0.338,0.5963,0.7986,0.1172,1.833429104,-0.931072388,-0.097670694
2985.2112,112.7201,4.7903,4.9646,5.1627,5.2615,5.2047,5.4646,2.3983,0.2993,0.5421,0.7762,0.135,1.698290926,-0.869666232,-0.110026362
2985.3636,111.8599,7.2593,7.6336,7.9604,8.3052,8.1057,8.7985,2.3867,0.2921,0.5357,0.5571,0.1391,2.174581252,-0.85667287,-0.254066842
2985.516,104.7292,8.6154,9.8477,10.3987,10.7407,10.6239,12.679,2.3675,0.2749,0.4833,0.5145,0.1509,2.539947082,-0.82131076,-0.288614621
2985.6684,93.5414,6.5053,7.8337,8.3014,8.6114,8.5798,10.5422,2.3298,0.2603,0.401,0.4821,0.1751,2.35538625,-0.756713854,-0.316862869
2985.8208,88.1346,7.3544,9.4618,10.199,10.3556,10.3752,13.1865,2.305,0.2659,0.3613,0.415,0.1868,2.579193579,-0.728623128,-0.381951903
2985.9732,89.8557,8.2434,10.8468,11.9359,11.8069,11.8993,15.2847,2.3118,0.2754,0.3739,0.4059,0.1797,2.726852328,-0.745451923,-0.391580949
2986.1256,88.9951,8.834,12.3859,13.5894,13.3913,13.543,17.689,2.3167,0.2807,0.3676,0.3774,0.1779,2.872942977,-0.749824052,-0.423198104
2986.278,87.7814,8.6922,12.3128,13.2442,12.8682,13.145,17.0584,2.3006,0.2709,0.3587,0.392,0.1887,2.836642751,-0.7242281,-0.406713933
2986.4304,88.6269,9.3076,12.2809,12.5787,12.4908,12.6305,15.826,2.2959,0.2694,0.3649,0.3789,0.1874,2.761654157,-0.727230413,-0.421475395
2986.5828,89.7334,9.7438,12.0101,12.5102,12.498,12.6564,15.4083,2.3116,0.2729,0.373,0.445,0.178,2.734906325,-0.749579998,-0.351639989
2986.7352,93.7268,8.212,9.1345,9.3943,9.599,9.6524,10.9807,2.3452,0.2727,0.4024,0.5128,0.1593,2.396139186,-0.797784224,-0.290051983
2986.8876,94.1108,10.7612,12.045,12.7377,13.105,13.1507,15.4272,2.3859,0.2749,0.4052,0.4791,0.1377,2.736132185,-0.86106606,-0.319573829
2987.04,91.1602,12.4145,14.3173,15.7419,16.3281,16.3466,20.1065,2.4052,0.2358,0.3835,0.427,0.1402,3.001043146,-0.853251986,-0.369572125
2987.1924,79.1643,18.7495,23.0354,27.8054,29.6474,29.3601,39.0657,2.3685,0.1818,0.2953,0.2556,0.1627,3.665244844,-0.788612447,-0.592439151
2987.3448,68.0994,40.4564,61.6215,83.9759,94.8512,93.2573,135.111,2.2505,0.1368,0.214,0.1153,0.2163,4.906096663,-0.664943481,-0.938170693
2987.4972,61.9523,42.3958,83.6324,123.9856,151.9682,157.2339,230.3752,2.1336,0.1196,0.1688,0.0962,0.2501,5.439709284,-0.601886308,-1.016824928
2987.6496,58.8802,29.2236,61.2565,80.64,98.9571,103.2079,146.3547,2.0656,0.118,0.1462,0.1161,0.2743,4.986033127,-0.561774192,-0.93516778
2987.802,58.8802,27.8747,41.3857,53.9316,61.8168,62.584,88.784,2.0589,0.1216,0.1462,0.141,0.2722,4.486206454,-0.565111879,-0.850780887
2987.9544,57.159,17.133,21.6505,27.8102,29.4162,29.7286,40.1155,2.0806,0.1236,0.1335,0.2879,0.2594,3.691762793,-0.586030028,-0.540758335
2988.1068,56.5567,5.9554,7.3461,8.3096,8.4913,8.4418,10.8182,2.0986,0.1297,0.1291,0.355,0.2628,2.381229901,-0.580374639,-0.449771647
2988.2592,58.2047,11.6509,16.2377,17.3499,17.6671,17.456,22.9232,2.1098,0.1336,0.1412,0.2215,0.2611,3.132149498,-0.583193128,-0.654626269
2988.4116,60.8237,26.5323,39.3006,41.2642,40.879,41.3349,54.3365,2.0897,0.1309,0.1605,0.1587,0.2712,3.995196193,-0.566710315,-0.799423073
2988.564,64.3862,26.2803,36.933,37.7554,37.006,37.0948,47.3816,2.0835,0.1313,0.1867,0.2131,0.2601,3.858233968,-0.584859648,-0.67141655
2988.7164,72.3277,11.1806,14.7041,14.6657,14.2425,14.3056,17.453,2.1282,0.1488,0.2451,0.3634,0.2368,2.859511554,-0.625618302,-0.439615077
2988.8688,82.6022,6.6557,7.5287,7.7552,7.533,7.4753,8.3104,2.244,0.1816,0.3206,0.552,0.1846,2.117507742,-0.733768303,-0.258060922
2989.0212,94.8965,7.7425,7.6812,8.3919,8.2736,8.0595,8.1884,2.3794,0.2144,0.411,0.6625,0.1341,2.102718519,-0.872571222,-0.178814117
2989.1736,94.0359,13.099,12.9842,14.8537,14.9911,14.3588,15.4897,2.4159,0.2183,0.4047,0.4459,0.1332,2.740175287,-0.875495775,-0.350762528
2989.326,84.8198,36.7685,43.3833,46.1171,49.7516,48.0953,59.3472,2.3412,0.1705,0.3369,0.1924,0.1683,4.083404942,-0.773915884,-0.715794932
2989.4784,70.1896,57.4358,63.2888,68.9724,73.9847,71.974,86.3379,2.2325,0.1377,0.2293,0.1865,0.2066,4.458268667,-0.684869683,-0.729321164
2989.6308,64.1653,30.0064,32.6566,33.6075,35.0614,34.8647,39.2938,2.2028,0.1354,0.185,0.2593,0.2065,3.671066746,-0.685079944,-0.586197483
2989.7832,67.9746,23.1471,24.1503,26.055,26.6375,26.5437,29.4835,2.2681,0.1605,0.213,0.3258,0.1735,3.383830785,-0.760700521,-0.48704892
2989.9356,73.1383,19.4184,19.6637,21.7931,22.2479,22.1695,24.5248,2.3639,0.2025,0.251,0.4671,0.1327,3.19968485,-0.877129077,-0.330590133
2990.088,81.708,12.432,12.1377,13.0913,13.2673,13.3344,13.6612,2.46,0.2482,0.314,0.7699,0.1017,2.614559698,-0.992679047,-0.11356568
2990.2404,87.1304,9.956,9.588,9.9374,10.2866,10.1907,10.0463,2.4752,0.2737,0.3539,0.7534,0.1094,2.307204408,-0.960982678,-0.122974384
2990.3928,92.6628,10.3918,10.2525,10.44,10.86,10.7038,10.6442,2.4234,0.2639,0.3946,0.5828,0.1395,2.365015143,-0.855425792,-0.234480457
2990.5452,89.6116,11.6418,12.3024,12.3934,12.9163,12.6839,13.4471,2.329,0.2489,0.3721,0.4059,0.1742,2.598763469,-0.758951849,-0.391580949
2990.6976,86.9069,12.6445,14.9033,15.714,16.2685,16.2795,19.7197,2.2812,0.2514,0.3523,0.3527,0.1879,2.981618136,-0.72607322,-0.45259454
2990.85,89.6116,10.1237,11.8686,12.9855,13.2475,13.3873,16.4199,2.2907,0.2631,0.3721,0.3929,0.1823,2.798494014,-0.739213331,-0.405717971
2991.0024,95.7727,10.108,12.1456,13.608,13.9444,14.0964,17.7644,2.3156,0.2703,0.4174,0.3819,0.1722,2.877196455,-0.763966853,-0.418050342
2991.1548,101.9026,10.4909,12.8256,14.898,15.3493,15.6566,20.1531,2.3422,0.2645,0.4625,0.3892,0.1613,3.003358123,-0.792365633,-0.409827168
2991.3072,101.7796,9.7952,12.3999,14.6333,15.3338,15.6913,20.5759,2.3484,0.2734,0.4616,0.3794,0.1598,3.024120488,-0.796423225,-0.420902673
2991.4596,99.5667,9.0934,12.1748,14.3731,15.2162,15.7249,20.8638,2.3508,0.2792,0.4453,0.3933,0.16,3.0380156,-0.795880017,-0.405276054
2991.612,100.6726,7.8984,10.8398,12.6144,13.4333,13.9482,18.5301,2.3578,0.2829,0.4535,0.4245,0.155,2.919396437,-0.809668302,-0.372122305
2991.7644,105.5903,8.4445,11.3069,12.9284,13.8066,14.4042,18.8769,2.3886,0.2738,0.4896,0.4511,0.1356,2.937938952,-0.86774031,-0.345727173
2991.9168,113.2128,9.9268,13.089,14.7491,15.6228,16.4777,21.2953,2.4293,0.2889,0.5457,0.482,0.1178,3.058486391,-0.92885471,-0.316952962
2992.0692,115.9055,9.7705,12.897,14.3512,15.1409,16.1809,20.7402,2.4369,0.2811,0.5655,0.4773,0.1189,3.032073846,-0.924818145,-0.321208566
2992.2216,112.9549,9.3573,12.569,14.4486,15.4237,16.6463,21.6479,2.3998,0.2793,0.5438,0.4028,0.1421,3.074908452,-0.847405922,-0.394910538
2992.374,102.8589,9.7226,13.7472,16.0798,17.5203,19.0538,25.4281,2.34,0.248,0.4696,0.3242,0.1691,3.235854862,-0.771856392,-0.489186989
2992.5264,95.5122,10.7904,13.9523,17.0947,18.6667,20.4373,27.4898,2.2923,0.2301,0.4155,0.2939,0.1916,3.313815027,-0.717604495,-0.531800414
2992.6788,84.4473,13.6379,17.6802,21.5327,24.1468,26.3567,35.6703,2.2502,0.2078,0.3342,0.2266,0.2082,3.57431841,-0.681519275,-0.644740094
